Taxa	Lipka_aTgT
12E	NaN
207	NaN
3167B	NaN
33-16	0.812787483
38-11	0.803458489
4226	0.80454289
4722	0.745784694
A131	NaN
A188	0.778071738
A214N	0.83062426
A239	0.680595308
A272	NaN
A3G-3-1-3	NaN
A441-5	1.004604497
A554	0.621787969
A556	0.882862528
A6	0.840864271
A619	0.727937299
A632	1.009718322
A634	0.944020949
A635	1.088264093
A641	0.836680187
A654	0.853822887
A659	0.656543198
A661	0.613506417
A679	0.619323527
A680	0.932619129
A682	0.897280821
AH83	NaN
Ab18	NaN
Ab24E	NaN
Ab26A	NaN
Ab28A	0.58007865
Ab608A	NaN
Ab610	NaN
Ab616	NaN
Ames10244	NaN
Ames10247	NaN
Ames10249	NaN
Ames10250	NaN
Ames10251	NaN
Ames10252	NaN
Ames10253	NaN
Ames10254	NaN
Ames10255	NaN
Ames10256	NaN
Ames10257	NaN
Ames10258	NaN
Ames10259	NaN
Ames10260	NaN
Ames10261	NaN
Ames10262	NaN
Ames10263	NaN
Ames10264	NaN
Ames10265	NaN
Ames10267	NaN
Ames10269	NaN
Ames10271	NaN
Ames10272	NaN
Ames10273	NaN
Ames10274	NaN
Ames10276	NaN
Ames10277	NaN
Ames10287	NaN
Ames12725	NaN
Ames12726	NaN
Ames12727	NaN
Ames12728	NaN
Ames12730	NaN
Ames12733	NaN
Ames12736	NaN
Ames12737	NaN
Ames12738	NaN
Ames12739	NaN
Ames12740	NaN
Ames12814	NaN
Ames12815	NaN
Ames12816	NaN
Ames12817	NaN
Ames12818	NaN
Ames12819	NaN
Ames12820	NaN
Ames12821	NaN
Ames12822	NaN
Ames12823	NaN
Ames12824	NaN
Ames14111	NaN
Ames14112	NaN
Ames14113	NaN
Ames14114	NaN
Ames14115	NaN
Ames14116	NaN
Ames14211	NaN
Ames14408	NaN
Ames19001	NaN
Ames19003	NaN
Ames19004	NaN
Ames19005	NaN
Ames19006	NaN
Ames19007	NaN
Ames19008	NaN
Ames19009	NaN
Ames19010	NaN
Ames19011	NaN
Ames19012	NaN
Ames19013	NaN
Ames19014	NaN
Ames19015	NaN
Ames19017	NaN
Ames19019	NaN
Ames19282	NaN
Ames19283	NaN
Ames19285	NaN
Ames19286	NaN
Ames19287	NaN
Ames19289	NaN
Ames19290	NaN
Ames19292	NaN
Ames19294	NaN
Ames19310	NaN
Ames19318	NaN
Ames19321	NaN
Ames19323	NaN
Ames19324	NaN
Ames20116	NaN
Ames20118	NaN
Ames20119	NaN
Ames20120	NaN
Ames20136	NaN
Ames20137	NaN
Ames20191	NaN
Ames21095	NaN
Ames21096	NaN
Ames22011	NaN
Ames22012	NaN
Ames22013	NaN
Ames22014	NaN
Ames22015	NaN
Ames22016	NaN
Ames22017	NaN
Ames22018	NaN
Ames22019	NaN
Ames22020	NaN
Ames22021	NaN
Ames22022	NaN
Ames22023	NaN
Ames22024	NaN
Ames22025	NaN
Ames22026	NaN
Ames22027	NaN
Ames22028	NaN
Ames22029	NaN
Ames22030	NaN
Ames22031	NaN
Ames22032	NaN
Ames22033	NaN
Ames22034	NaN
Ames22035	NaN
Ames22036	NaN
Ames22037	NaN
Ames22038	NaN
Ames22039	NaN
Ames22040	NaN
Ames22041	NaN
Ames22042	NaN
Ames22043	NaN
Ames22044	NaN
Ames22045	NaN
Ames22046	NaN
Ames22047	NaN
Ames22048	NaN
Ames22049	NaN
Ames22050	NaN
Ames22051	NaN
