Taxa	Romay_GDD_DTS
12E	1679.7045
207	NaN
3167B	1664.3903
33-16	1686.1813
38-11	1654.5834
4226	NaN
4722	NaN
A131	1319.8129
A188	1363.449
A214N	1823.7427
A239	1483.1305
A272	NaN
A3G-3-1-3	1674.5775
A441-5	1655.9077
A554	1328.8117
A556	1318.9601
A6	2066.9366
A619	1479.9188
A632	1524.5281
A634	1534.4912
A635	1449.802
A641	1370.7009
A654	1296.3825
A659	1478.5323
A661	1356.6583
A679	1391.5592
A680	1563.3652
A682	1404.3204
AH83	1699.3114
Ab18	1418.5049
Ab24E	1769.1215
Ab26A	NaN
Ab28A	1783.4323
Ab608A	1699.798
Ab610	1915.4281
Ab616	1863.8205
Ames10244	2037.8168
Ames10247	1904.8317
Ames10249	1682.6249
Ames10250	1862.6952
Ames10251	1791.7047
Ames10252	1796.7353
Ames10253	1752.8751
Ames10254	1640.9848
Ames10255	1862.8749
Ames10256	1732.1631
Ames10257	1781.4443
Ames10258	1847.4548
Ames10259	1892.0335
Ames10260	2016.5568
Ames10261	1758.2443
Ames10262	2081.8429
Ames10263	2312.0429
Ames10264	2028.0172
Ames10265	1852.8679
Ames10267	1808.2403
Ames10269	1703.7398
Ames10271	1674.3039
Ames10272	1857.8767
Ames10273	1809.6824
Ames10274	1816.8397
Ames10276	1789.3644
Ames10277	1804.213
Ames10287	1516.1452
Ames12725	2086.8873
Ames12726	1734.1294
Ames12727	1770.1846
Ames12728	1836.9419
Ames12730	1833.3684
Ames12733	1776.294
Ames12736	1778.6843
Ames12737	1726.8133
Ames12738	1808.6483
Ames12739	1774.8956
Ames12740	1811.3859
Ames12814	1627.6113
Ames12815	1595.0188
Ames12816	NaN
Ames12817	1406.3769
Ames12818	1662.1708
Ames12819	1473.5513
Ames12820	1546.7469
Ames12821	1571.7552
Ames12822	1609.9936
Ames12823	1486.3005
Ames12824	1567.6018
Ames14111	1799.6494
Ames14112	1729.9111
Ames14113	1698.5032
Ames14114	1526.8161
Ames14115	1551.7303
Ames14116	1602.7282
Ames14211	1358.1809
Ames14408	2201.6196
Ames19001	1582.6239
Ames19003	1506.9957
Ames19004	1517.6009
Ames19005	1652.4562
Ames19006	1578.2912
Ames19007	1864.9768
Ames19008	1617.6816
Ames19009	1740.3349
Ames19010	1373.7947
Ames19011	1674.7036
Ames19012	1713.155
Ames19013	1812.762
Ames19014	1548.8915
Ames19015	1715.2794
Ames19017	1655.3156
Ames19019	1541.9151
Ames19282	NaN
Ames19283	1537.3887
Ames19285	NaN
Ames19286	1530.4385
Ames19287	1576.3213
Ames19289	NaN
Ames19290	1556.5132
Ames19292	1514.1966
Ames19294	1604.4908
Ames19310	1371.4525
Ames19318	1589.4188
Ames19321	1664.6016
Ames19323	NaN
Ames19324	1613.5788
Ames20116	1822.9823
Ames20118	NaN
Ames20119	1660.3968
Ames20120	1493.7372
Ames20136	1730.0179
Ames20137	1677.9061
Ames20191	1303.2971
Ames21095	1751.5152
Ames21096	1818.0189
Ames22011	1342.5164
Ames22012	1220.1428
Ames22013	1258.6384
Ames22014	1289.0407
Ames22015	1255.1301
Ames22016	1283.6458
Ames22017	1346.3557
Ames22018	1235.3
Ames22019	1317.7317
Ames22020	1316.2885
Ames22021	1327.9532
Ames22022	1509.1786
Ames22023	1370.6362
Ames22024	1385.3103
Ames22025	1415.729
Ames22026	1489.2045
Ames22027	1469.857
Ames22028	1311.6941
Ames22029	1275.9557
Ames22030	1441.7353
Ames22031	1315.6204
Ames22032	1338.7873
Ames22033	1317.9043
Ames22034	1219.5846
Ames22035	1257.446
Ames22036	1264.2062
Ames22037	1122.0318
Ames22038	1163.4784
Ames22039	1236.0869
Ames22040	1236.838
Ames22041	1273.5427
Ames22042	1365.3602
Ames22043	1276.6118
Ames22044	1288.7645
Ames22045	1294.5918
Ames22046	1244.3219
Ames22047	1350.8689
Ames22048	1481.1917
Ames22049	1458.896
Ames22050	1375.1424
Ames22051	1520.6689
Ames22052	1492.2056
Ames22053	1454.0165
Ames22054	1208.034
Ames22055	1358.6979
Ames22056	1235.1832
Ames22057	1323.8512
Ames22058	1339.8693
Ames22059	1272.9511
Ames22060	1414.8117
Ames22061	1518.4056
Ames22062	1423.77
Ames22063	NaN
Ames22064	1349.8275
Ames22065	1342.9585
Ames22066	1409.3431
Ames22067	1173.2129
Ames22439	1469.0138
Ames22441	1432.6701
Ames22442	1487.4763
Ames22747	1149.5098
Ames22748	1633.9475
Ames22749	1522.0406
Ames22750	1535.3914
Ames22751	1524.0551
Ames22752	1734.3856
Ames22753	1537.5151
Ames22755	1556.2218
Ames22756	1522.4168
Ames22757	1423.7954
Ames22758	NaN
Ames22759	NaN
Ames22760	1807.5567
Ames22761	1842.8332
Ames22762	1598.9979
Ames22765	NaN
Ames22766	1851.5717
Ames22767	1315.1563
Ames22792	1458.1521
Ames22793	1338.8457
Ames22794	1329.2146
Ames2325	NaN
Ames2326	1406.3162
Ames2327	1525.9714
Ames2328	1393.2529
Ames2329	1619.0024
Ames2330	1470.1509
Ames2331	1447.5804
Ames2332	1478.0537
Ames2333	1586.7847
Ames2334	NaN
Ames2335	1532.4972
Ames2336	1471.9617
Ames2337	1527.9389
Ames2338	1500.0048
Ames23389	1256.1839
Ames2339	1697.1611
Ames23391	1255.6541
Ames23392	1298.2471
Ames23393	1291.2408
Ames23394	1307.063
Ames23395	1334.6004
Ames23396	1384.0909
Ames23397	1305.9175
Ames23398	1416.9302
Ames23399	1403.4332
Ames2340	1655.02
Ames23400	1420.5364
Ames23401	1387.9586
Ames23402	1543.7628
Ames23403	1303.9793
Ames23404	1372.2182
Ames23406	1476.7417
Ames23407	1560.1211
Ames23408	1419.8162
Ames23409	1493.2149
Ames2341	1761.3128
Ames23410	1507.5699
Ames23413	1551.2467
Ames23414	1358.9085
Ames23415	1468.7803
Ames23417	1419.2625
Ames23418	1319.7096
Ames23419	1450.4938
Ames23420	1374.7823
Ames23421	1386.6367
Ames23422	1430.4711
Ames23423	1453.0533
Ames23424	1381.3182
Ames23425	1345.0896
Ames23426	1419.1494
Ames23427	1379.7425
Ames23428	1362.8023
Ames23429	1230.9696
Ames23430	1474.4282
Ames23431	1290.7147
Ames23433	1228.7347
Ames23434	1263.5471
Ames23435	1530.8596
Ames23436	1404.1666
Ames23437	1370.2629
Ames23438	1386.8511
Ames23439	1276.0754
Ames23440	1226.8424
Ames23441	1271.4565
Ames23442	1263.3931
Ames23443	1280.0878
Ames23444	1388.5888
Ames23445	1387.7085
Ames23446	1308.6992
Ames23447	1248.254
Ames23448	1278.4009
Ames23449	1433.2828
Ames23451	1278.8349
Ames23452	1225.4333
Ames23455	1307.8386
Ames23456	1460.2895
Ames23457	1469.0024
Ames23458	1458.9104
Ames23459	1629.1545
Ames23460	1340.4018
Ames23461	1438.9072
Ames23463	1495.0087
Ames23464	1565.1678
Ames23465	1425.4158
Ames23466	1446.8782
Ames23467	1450.5686
Ames23468	1468.4719
Ames23469	1445.1398
Ames23470	1531.5262
Ames23471	1691.3078
Ames23473	1472.2725
Ames23474	1559.3775
Ames23475	1467.5978
Ames23476	1366.9148
Ames23477	1416.0127
Ames23478	1509.6598
Ames23479	1625.138
Ames23480	1566.5987
Ames23481	1569.1934
Ames23482	1311.1406
Ames23483	1302.1866
Ames23484	1392.0587
Ames23485	1314.0863
Ames23486	1375.2836
Ames23487	NaN
Ames23488	1444.9082
Ames23490	1261.7034
Ames23491	1371.4278
Ames23492	1358.0143
Ames23493	1517.7126
Ames23494	1551.8459
Ames23495	1467.2434
Ames23496	1453.5716
Ames23497	1241.6885
Ames23498	1381.6118
Ames23499	1240.8877
Ames23500	1316.0253
Ames23501	1360.179
Ames23502	1432.3115
Ames23504	1493.6888
Ames23505	1378.5391
Ames23507	1281.7667
Ames23508	1203.0316
Ames23509	1225.3079
Ames23510	1245.8026
Ames23922	1406.5822
Ames23923	1808.2114
Ames23924	1986.6279
Ames24585	1360.4133
Ames24589	1752.935
Ames24590	1634.1086
Ames24704	1395.9327
Ames24705	1645.3751
Ames24706	1312.1032
Ames24707	1459.7074
Ames24708	1407.7467
Ames24709	1444.9314
Ames24710	1566.8744
Ames24711	1473.5901
Ames24713	1509.4188
Ames24714	1320.8248
Ames24715	1337.5324
Ames24716	1562.532
Ames24717	1541.6608
Ames24718	1581.003
Ames24719	1487.8987
Ames24720	1479.2409
Ames24721	1433.2168
Ames24722	1418.5059
Ames24723	1380.5015
Ames24724	1328.6756
Ames24725	1285.2486
Ames24727	1494.2776
Ames24728	NaN
Ames24729	1434.7595
Ames24730	1598.357
Ames24732	1330.0361
Ames24733	1397.3838
Ames24735	1530.2493
Ames24736	1494.1573
Ames24737	1512.2464
Ames24738	1449.2883
Ames24739	1416.2564
Ames24740	1564.4469
Ames24741	1231.0078
Ames24742	1453.5322
Ames24743	1451.651
Ames24744	1513.6109
Ames24745	1483.0604
Ames24746	1523.2057
Ames24747	1553.9251
Ames24748	1509.334
Ames24749	1510.6888
Ames24750	1541.3678
Ames24751	1436.4992
Ames25177	1900.6045
Ames25179	1654.8979
Ames25181	NaN
Ames25182	1707.2767
Ames25218	1796.9956
